# bin,count
1132,60
1133,58
1134,54
1135,54
1136,60
1137,55
1138,66
1139,62
1140,63
1141,53
1142,71
1143,48
1144,58
1145,47
1146,57
1147,70
1148,53
1149,50
1150,58
1151,67
1152,61
1153,52
1154,58
1155,57
1156,66
1157,56
1158,59
1159,70
1160,49
1161,56
1162,63
1163,61
1164,67
1165,49
1166,61
1167,65
1168,63
1169,62
1170,56
1171,66
1172,54
1173,47
1174,42
1175,56
1176,49
1177,51
1178,70
1179,54
1180,64
1181,53
1182,62
1183,65
1184,42
1185,63
1186,62
1187,62
1188,61
1189,49
1190,56
1191,57
1192,51
1193,55
1194,61
1195,57
1196,55
1197,50
1198,63
1199,45
1200,61
1201,57
1202,71
1203,36
1204,61
1205,59
1206,48
1207,70
1208,61
1209,48
1210,59
1211,61
1212,56
1213,47
1214,58
1215,59
1216,63
1217,61
1218,49
1219,41
1220,48
1221,58
1222,71
1223,62
1224,56
1225,41
1226,52
1227,63
1228,71
1229,54
1230,54
1231,34
1232,53
1233,49
1234,43
1235,45
1236,52
1237,50
1238,54
1239,55
1240,55
1241,52
1242,62
1243,30
1244,41
1245,40
1246,59
1247,47
1248,50
1249,47
1250,49
1251,51
1252,52
1253,57
1254,41
1255,51
1256,45
1257,50
1258,56
1259,56
1260,57
1261,59
1262,53
1263,56
1264,52
1265,50
1266,49
1267,48
1268,49
1269,49
1270,47
1271,47
1272,37
1273,50
1274,46
1275,45
1276,54
1277,46
1278,43
1279,25
1280,55
1281,46
1282,55
1283,54
1284,51
1285,50
1286,42
1287,50
1288,58
1289,56
1290,47
1291,46
1292,63
1293,48
1294,36
1295,47
1296,47
1297,48
1298,52
1299,45
1300,49
1301,43
1302,50
1303,55
1304,47
1305,46
1306,43
1307,38
1308,51
1309,39
1310,54
1311,41
1312,49
1313,37
1314,51
1315,43
1316,54
1317,45
1318,47
1319,38
1320,46
1321,55
1322,50
1323,33
1324,55
1325,49
1326,46
1327,46
1328,55
1329,46
1330,53
1331,41
1332,45
1333,46
1334,50
1335,59
1336,34
1337,41
1338,51
1339,40
1340,58
1341,40
1342,46
1343,56
1344,39
1345,44
1346,48
1347,37
1348,38
1349,44
1350,40
1351,42
1352,44
1353,48
1354,40
1355,39
1356,43
1357,50
1358,49
1359,43
1360,37
1361,43
1362,50
1363,39
1364,32
1365,45
1366,39
1367,48
1368,46
1369,45
1370,40
1371,42
1372,54
1373,30
1374,32
1375,48
1376,42
1377,42
1378,26
1379,45
1380,46
1381,43
1382,41
1383,52
1384,38
1385,36
1386,39
1387,47
1388,44
1389,43
1390,36
1391,31
1392,45
1393,45
1394,34
1395,42
1396,38
1397,38
1398,43
1399,48
1400,45
1401,43
1402,44
1403,35
1404,36
1405,31
1406,44
1407,30
1408,39
1409,33
1410,36
1411,34
1412,40
1413,42
1414,38
1415,43
1416,30
1417,47
1418,43
1419,42
1420,48
1421,37
1422,16
1423,36
1424,30
1425,40
1426,39
1427,36
1428,40
1429,33
1430,44
1431,41
1432,42
1433,44
1434,40
1435,38
1436,43
1437,32
1438,43
1439,38
1440,48
1441,45
1442,43
1443,44
1444,40
1445,43
1446,34
1447,41
1448,29
1449,40
1450,50
1451,25
1452,45
1453,42
1454,37
1455,39
1456,44
1457,33
1458,42
1459,37
1460,51
1461,43
1462,48
1463,41
1464,29
1465,46
1466,38
1467,40
1468,38
1469,39
1470,45
1471,41
1472,36
1473,40
1474,28
1475,26
1476,37
1477,44
1478,34
1479,38
1480,30
1481,40
1482,32
1483,36
1484,33
1485,32
1486,29
1487,41
1488,35
1489,34
1490,46
1491,37
1492,46
1493,41
1494,33
1495,31
1496,30
1497,39
1498,30
1499,25
1500,40
1501,33
1502,39
1503,26
1504,42
1505,37
1506,41
1507,24
1508,35
1509,36
1510,36
1511,28
1512,32
1513,45
1514,40
1515,23
1516,37
1517,35
1518,36
1519,34
1520,31
1521,23
1522,55
1523,27
1524,38
1525,34
1526,36
1527,43
1528,34
1529,29
1530,48
1531,26
1532,54
1533,38
1534,33
1535,37
1536,42
1537,46
1538,31
1539,46
1540,36
1541,30
1542,40
1543,34
1544,36
1545,37
1546,31
1547,31
1548,36
1549,26
1550,39
1551,28
1552,38
1553,40
1554,36
1555,47
1556,41
1557,32
1558,34
1559,35
1560,40
1561,37
1562,33
1563,41
1564,32
1565,33
1566,27
1567,45
1568,28
1569,29
1570,43
1571,38
1572,40
1573,38
1574,36
1575,43
1576,37
1577,32
1578,35
1579,36
1580,41
1581,33
1582,38
1583,32
1584,25
1585,38
1586,24
1587,38
1588,55
1589,40
1590,30
1591,32
1592,37
1593,37
1594,31
1595,48
1596,30
1597,32
1598,40
1599,36
1600,33
1601,29
1602,23
1603,27
1604,32
1605,34
1606,26
1607,41
1608,32
1609,28
1610,26
1611,42
1612,32
1613,31
1614,36
1615,39
1616,31
1617,26
1618,28
1619,37
1620,32
1621,33
1622,35
1623,24
1624,33
1625,38
1626,33
1627,36
1628,37
1629,34
1630,32
1631,34
1632,27
1633,19
1634,39
1635,29
1636,39
1637,31
1638,36
1639,38
1640,21
1641,31
1642,34
1643,37
1644,18
1645,23
1646,21
1647,29
1648,30
1649,19
1650,25
1651,39
1652,36
1653,39
1654,33
1655,21
1656,41
1657,27
1658,24
1659,25
1660,27
1661,29
1662,29
1663,29
1664,21
1665,24
1666,33
1667,23
1668,35
1669,19
1670,33
1671,30
1672,25
1673,27
1674,34
1675,27
1676,30
1677,26
1678,35
1679,27
1680,21
1681,31
1682,33
1683,24
1684,35
1685,29
1686,25
1687,25
1688,34
1689,31
1690,34
1691,27
1692,38
1693,21
1694,26
1695,34
1696,22
1697,33
1698,20
1699,24
1700,30
1701,26
1702,30
1703,24
1704,36
1705,31
1706,22
1707,29
1708,34
1709,26
1710,35
1711,32
1712,39
1713,23
1714,30
1715,29
1716,31
1717,28
1718,35
1719,19
1720,39
1721,28
1722,26
1723,32
1724,29
1725,29
1726,23
1727,28
1728,25
1729,25
1730,26
1731,28
1732,26
1733,25
1734,27
1735,32
1736,28
1737,41
1738,35
1739,20
1740,35
1741,26
1742,28
1743,28
1744,23
1745,31
1746,25
1747,32
1748,23
1749,30
1750,30
1751,24
1752,21
1753,26
1754,35
1755,20
1756,28
1757,27
1758,26
1759,22
1760,35
1761,21
1762,26
1763,18
1764,26
1765,31
1766,23
1767,17
1768,34
1769,34
1770,25
1771,31
1772,25
1773,41
1774,30
1775,25
1776,35
1777,33
1778,26
1779,30
1780,34
1781,29
1782,33
1783,20
1784,24
1785,31
1786,20
1787,25
1788,17
1789,25
1790,31
1791,27
1792,28
1793,28
1794,25
1795,31
1796,29
1797,26
1798,18
1799,23
1800,27
1801,31
1802,25
1803,21
1804,31
1805,27
1806,16
1807,31
1808,26
1809,19
1810,28
1811,22
1812,29
1813,35
1814,31
1815,31
1816,20
1817,30
1818,25
1819,28
1820,27
1821,19
1822,20
1823,27
1824,20
1825,26
1826,31
1827,33
1828,24
1829,23
1830,28
1831,25
1832,23
1833,23
1834,33
1835,26
1836,28
1837,29
1838,30
1839,24
1840,28
1841,27
1842,21
1843,25
1844,27
1845,18
1846,24
1847,28
1848,35
1849,21
1850,26
1851,18
1852,21
1853,25
1854,26
1855,23
1856,32
1857,25
1858,40
1859,27
1860,26
1861,27
1862,24
1863,23
1864,27
1865,25
1866,23
1867,23
1868,20
1869,21
1870,22
1871,23
1872,23
1873,35
1874,24
1875,28
1876,27
1877,28
1878,23
1879,24
1880,22
1881,30
1882,34
1883,26
1884,19
1885,22
1886,17
1887,23
1888,19
1889,22
1890,17
1891,19
1892,25
1893,12
1894,23
1895,18
1896,22
1897,18
1898,23
1899,27
1900,24
1901,20
1902,30
1903,24
1904,24
1905,19
1906,34
1907,27
1908,25
1909,18
1910,23
1911,22
1912,29
1913,24
1914,18
1915,18
1916,30
1917,26
1918,21
1919,28
1920,21
1921,21
1922,29
1923,18
1924,22
1925,16
1926,20
1927,23
1928,23
1929,28
1930,18
1931,20
1932,24
1933,27
1934,22
1935,27
1936,29
1937,19
1938,22
1939,16
1940,29
1941,16
1942,25
1943,12
1944,18
1945,31
1946,28
1947,17
1948,19
1949,18
1950,19
1951,29
1952,15
1953,27
1954,23
1955,25
1956,29
1957,26
1958,25
1959,28
1960,22
1961,20
1962,29
1963,16
1964,24
1965,31
1966,17
1967,24
1968,27
1969,20
1970,20
1971,28
1972,27
1973,23
1974,21
1975,24
1976,30
1977,17
1978,21
1979,34
1980,10
1981,16
1982,28
1983,20
1984,18
1985,25
1986,24
1987,19
1988,21
1989,15
1990,13
1991,28
1992,18
1993,28
1994,34
1995,18
1996,18
1997,25
1998,29
1999,23
2000,24
2001,21
2002,19
2003,23
2004,22
2005,21
2006,17
2007,18
2008,17
2009,17
2010,21
2011,21
2012,17
2013,20
2014,19
2015,19
2016,19
2017,22
2018,23
2019,18
2020,24
2021,16
2022,20
2023,17
2024,23
2025,28
2026,20
2027,20
2028,14
2029,26
2030,17
2031,10
2032,16
2033,26
2034,27
2035,18
2036,18
2037,22
2038,20
2039,26
2040,18
2041,19
2042,24
2043,19
2044,26
2045,23
2046,25
2047,19
2048,26
2049,23
2050,18
2051,21
2052,25
2053,22
2054,26
2055,22
2056,25
2057,22
2058,16
2059,23
2060,24
2061,16
2062,25
2063,23
2064,17
2065,17
2066,22
2067,12
2068,21
2069,23
2070,16
2071,19
2072,23
2073,16
2074,20
2075,20
2076,24
2077,12
2078,15
2079,22
2080,16
2081,31
2082,19
2083,18
2084,15
2085,19
2086,23
2087,17
2088,19
2089,24
2090,16
2091,19
2092,21
2093,26
2094,23
2095,21
2096,20
2097,23
2098,16
2099,23
2100,18
2101,16
2102,16
2103,20
2104,18
2105,12
2106,16
2107,21
2108,25
2109,19
2110,17
2111,13
2112,13
2113,23
2114,19
2115,19
2116,13
2117,10
2118,22
2119,26
2120,18
2121,24
2122,14
2123,20
2124,24
2125,10
2126,26
2127,10
2128,15
2129,20
2130,22
2131,25
2132,19
2133,19
2134,20
2135,16
2136,26
2137,13
2138,16
2139,23
2140,21
2141,18
2142,18
2143,20
2144,25
2145,16
2146,16
2147,17
2148,27
2149,15
2150,22
2151,16
2152,18
2153,22
2154,23
2155,28
2156,9
2157,15
2158,23
2159,20
2160,19
2161,18
2162,23
2163,14
2164,16
2165,18
2166,19
2167,23
2168,16
2169,17
2170,11
2171,16
2172,18
2173,12
2174,16
2175,18
2176,14
2177,13
2178,23
2179,22
2180,17
2181,21
2182,13
2183,16
2184,21
2185,18
2186,11
2187,18
2188,13
2189,14
2190,13
2191,26
2192,14
2193,19
2194,17
2195,18
2196,24
2197,22
2198,13
