# bin,count
5900,1476
5910,1451
5920,1425
5930,1450
5940,1388
5950,1444
5960,1392
5970,1433
5980,1396
5990,1398
6000,1399
6010,1339
6020,1376
6030,1385
6040,1425
6050,1340
6060,1339
6070,1362
6080,1413
6090,1395
6100,1311
6110,1336
6120,1376
6130,1332
6140,1416
6150,1292
6160,1369
6170,1377
6180,1320
6190,1390
6200,1320
6210,1357
6220,1380
6230,1358
6240,1295
6250,1337
6260,1289
6270,1364
6280,1296
6290,1292
6300,1328
6310,1334
6320,1286
6330,1350
6340,1303
6350,1271
6360,1251
6370,1322
6380,1331
6390,1243
6400,1254
6410,1267
6420,1199
6430,1350
6440,1280
6450,1263
6460,1283
6470,1175
6480,1277
6490,1246
6500,1235
6510,1266
6520,1191
6530,1254
6540,1172
6550,1173
6560,1226
6570,1247
6580,1196
6590,1253
6600,1170
6610,1232
6620,1158
6630,1225
6640,1255
6650,1128
6660,1265
6670,1169
6680,1161
6690,1195
6700,1269
6710,1176
6720,1165
6730,1193
6740,1213
6750,1140
6760,1132
6770,1169
6780,1198
6790,1179
6800,1168
6810,1167
6820,1162
6830,1161
6840,1167
6850,1223
6860,1156
6870,1193
6880,1140
6890,1156
6900,1178
6910,1210
6920,1106
6930,1103
6940,1163
6950,1120
6960,1169
6970,1122
6980,1130
6990,1108
7000,1111
7010,1105
7020,1169
7030,1137
7040,1109
7050,1103
7060,1080
7070,1112
7080,1123
7090,1051
7100,1058
7110,1014
7120,1120
7130,1055
7140,1081
7150,1087
7160,1049
7170,1069
7180,1100
7190,1081
7200,1063
7210,1105
7220,1058
7230,1030
7240,1067
7250,1074
7260,1090
7270,980
7280,1051
7290,1057
7300,1065
7310,1083
7320,1065
7330,1093
7340,1069
7350,968
7360,1017
7370,1034
7380,1068
7390,1040
7400,1023
7410,1060
7420,1006
7430,975
7440,1001
7450,1071
7460,1037
7470,1031
7480,1034
7490,1049
7500,988
7510,1056
7520,988
7530,1040
7540,1030
7550,1022
7560,1003
7570,999
7580,959
7590,990
7600,962
7610,1000
7620,1043
7630,981
7640,1032
7650,971
7660,991
7670,992
7680,966
7690,970
